,black_or_not
2836,0
1157,0
744,0
1448,0
3339,1
1965,0
3027,0
783,1
4193,1
3608,0
229,0
857,1
2178,1
2280,0
408,0
170,1
540,0
2460,1
3918,1
3222,0
1957,0
2916,0
1691,0
3318,0
1161,0
4051,0
2379,0
4201,0
2341,0
1360,1
3941,1
564,0
3984,1
4167,1
2133,0
1292,0
1595,0
4025,0
3309,0
2544,0
2399,0
3227,0
1172,0
4830,1
325,0
1051,0
2844,1
3182,1
1351,0
3461,0
1196,1
620,0
2781,1
3053,0
1189,0
328,1
648,0
897,0
3329,0
1123,1
2484,0
4553,0
1705,0
4765,0
3115,0
1345,0
3200,0
2620,0
1023,0
1840,0
4596,0
1305,1
1606,0
809,0
978,0
2409,0
2597,0
3723,0
2406,0
4477,0
2321,0
4606,1
1684,1
3471,0
174,1
1803,1
4369,1
4634,0
4376,0
217,0
3780,0
4806,0
690,0
2487,0
2157,0
3380,1
1106,0
2366,1
1773,0
4148,0
1973,0
3131,1
3586,0
576,0
1937,0
4350,0
1180,0
888,1
4351,0
1618,0
2570,0
817,0
3165,0
208,0
293,0
1119,1
2788,1
1505,0
1264,1
990,0
4883,0
1412,0
353,0
1729,0
1391,1
3427,1
2465,0
2943,1
1228,0
259,0
1421,1
4092,0
4648,0
1654,0
4805,0
52,1
3424,0
2197,0
2117,0
4454,0
2689,1
4864,0
1033,1
1097,0
543,1
1046,0
4195,0
1812,0
30,0
725,1
2351,0
4574,0
3769,1
3319,0
436,1
4759,0
912,0
4563,0
4074,0
4895,0
3435,0
3342,0
4791,0
1238,1
903,1
3036,0
4421,0
507,0
3376,1
183,0
2194,0
2771,0
321,1
4093,0
1413,0
2298,0
3643,0
1718,0
4817,0
4352,0
1146,0
1954,0
44,0
2505,1
2337,1
4703,0
1378,0
2100,0
2907,0
413,0
4487,0
1407,0
1550,1
801,1
1288,0
4035,1
4751,0
1627,0
4766,0
256,0
4155,0
2201,0
1151,0
2221,0
647,0
2808,0
1592,1
2078,0
4312,0
1315,0
2670,0
2756,1
3704,1
1590,0
3837,0
112,0
3025,0
263,0
1393,1
1755,0
1186,1
3910,1
56,1
1309,0
695,0
1833,0
1614,0
1670,0
1623,0
4584,1
2295,0
682,0
3486,0
3104,0
1966,0
4884,0
2755,0
286,1
3958,0
3884,0
4236,1
4589,1
3378,1
1503,1
1971,0
736,0
1620,0
336,0
2302,1
2674,1
2548,0
4319,1
1071,0
2210,0
3872,1
2211,0
1839,1
3986,0
3791,1
3250,0
498,1
4279,0
3664,1
4066,1
2292,0
3498,0
3254,1
4689,0
2080,1
2922,1
1897,0
1022,0
2525,1
4790,0
4527,0
4136,1
2347,0
665,0
3976,0
3553,1
1017,0
3238,0
2316,0
1207,0
1872,0
2059,0
1510,1
3887,0
245,1
1163,0
266,0
2284,0
1114,0
63,0
4509,0
2093,1
2679,0
2906,0
2971,0
1740,0
2908,0
2182,0
1935,0
1553,0
1237,1
103,0
3869,1
4743,0
508,0
4285,1
4833,0
4802,0
865,0
3538,1
908,0
3653,0
3762,0
3193,0
1522,0
835,1
358,0
138,0
299,1
1003,1
382,0
941,0
4675,0
3618,0
761,0
2233,0
3314,0
1978,1
3151,0
1952,0
4020,0
1402,0
2095,0
3654,1
4301,1
2851,0
1512,0
1188,0
2884,0
4128,1
3743,0
3317,0
108,0
2639,0
2228,0
3286,1
58,0
76,0
796,0
368,0
2019,0
785,0
4297,0
2610,0
1873,1
4281,1
3412,0
2451,0
1593,0
121,0
1721,1
2287,1
3520,0
910,1
124,1
4443,0
1586,0
1257,0
3321,0
4145,1
3265,0
1178,0
4470,0
4517,1
4100,0
442,0
1779,1
3789,0
925,0
4151,1
2154,0
1411,0
4218,0
1902,0
1509,0
1227,0
3478,1
2073,0
3168,0
324,0
4732,1
2305,0
1777,1
3186,0
2930,0
1498,0
1502,0
1006,0
3667,0
4113,1
3419,0
1467,0
1225,0
2768,0
3838,0
1216,1
4798,1
3883,1
420,1
4422,1
6,0
932,0
439,0
1313,1
678,0
2118,0
4522,0
1703,0
2189,1
4543,0
3047,1
3075,0
2571,0
1942,0
1770,0
4164,0
3758,0
4793,1
194,0
1474,0
3876,0
1211,0
2354,0
1657,0
2606,1
3566,0
2611,0
3821,0
1723,1
1130,0
1461,0
276,0
2146,0
2307,0
4069,0
1302,1
3110,1
222,0
4021,1
3037,1
573,1
1236,0
3423,0
2057,1
1334,1
2373,0
418,1
2123,0
1104,1
257,1
295,1
3353,0
386,1
3559,1
4121,0
2254,0
4253,0
4561,1
1717,0
4368,0
1563,1
1769,0
1400,0
712,1
2267,1
2497,0
2890,0
3809,1
1289,0
449,1
3952,0
4523,0
958,0
2086,0
654,0
4041,0
1862,0
4473,0
2647,0
1926,0
411,0
2521,0
2110,0
2297,0
2944,0
4229,0
4680,0
3577,1
1874,1
2573,0
4646,0
3251,1
3960,0
3448,0
430,0
3122,0
1891,0
1366,0
1859,0
3290,1
1176,1
3978,1
1476,0
3044,0
1907,0
102,1
1788,1
2629,0
1263,0
4866,0
3551,0
2744,1
2956,0
2645,0
3753,0
3063,0
2868,0
1643,0
4420,0
2016,0
1580,0
4337,0
3989,0
1356,0
3801,0
4242,1
4202,0
1888,0
2142,1
396,1
3341,0
1064,1
4063,0
2077,1
818,0
2585,0
1552,0
3013,1
816,0
1572,0
3816,0
4205,0
381,0
3691,1
4398,0
3382,0
2838,0
1780,0
3787,0
2251,0
864,0
3096,0
3995,0
554,0
1159,1
1213,0
1893,1
4628,0
48,1
3040,1
700,0
652,0
3048,1
748,1
1455,0
4588,0
4119,1
2893,1
866,0
752,0
1644,0
92,0
2726,0
4419,0
2348,0
2535,0
1490,0
3245,1
2101,0
729,0
2623,0
2387,0
4017,1
1745,0
4007,1
3166,1
4697,0
1110,0
3567,0
3895,0
4386,0
4064,0
346,0
1185,0
3870,0
1515,0
4579,0
578,1
75,0
1429,0
3468,0
4345,0
2656,1
4852,0
131,0
178,1
2799,0
4749,1
2711,0
4861,0
1842,0
2002,1
2450,0
4882,1
604,0
1919,0
25,0
658,0
3204,0
4033,0
173,1
1611,0
437,0
331,0
2993,0
1454,0
342,1
3090,1
2458,0
1088,0
479,0
727,0
3652,0
976,0
4290,0
4426,0
1468,1
1224,0
3796,1
4735,0
1299,0
3542,0
4511,0
660,0
3834,0
2311,0
2686,0
4178,0
4002,0
2114,0
2946,0
267,0
2693,0
